id,field_id,value,count,percentage
1,3,-,11,100.0
2,7,-,41,91.11
3,7,"النطاق الجغرافي
Geographic
Location",1,2.22
4,7,"عدد الصناديق
Number of Funds",1,2.22
5,7,"عدد المشتركين
Number of Subscribers",1,2.22
6,7,"قيم الأصول (مليون ريال)
Asset Value (million SR)",1,2.22
7,17,-,19,100.0
8,25,-,7,35.0
9,25,1,6,30.0
10,25,2,6,30.0
11,25,"طرح عام لأدوات دين
Debt Instrument Public Offering",1,5.0
12,28,-,13,65.0
13,28,1,5,25.0
14,28,"تحويل الديون
Debts Transfer",1,5.0
15,28,0,1,5.0
16,29,1,6,30.0
17,29,-,4,20.0
18,29,6,2,10.0
19,29,"خفض رأس مال
Capital Reduction",1,5.0
20,29,5,1,5.0
21,29,15,1,5.0
22,29,9,1,5.0
23,29,10,1,5.0
24,29,8,1,5.0
25,29,17,1,5.0
26,29,3,1,5.0
27,31,-,17,85.0
28,31,1,2,10.0
29,31,إصدار أسهم مع وقف العمل بحق الأولوية Share Issuance with the Suspension of Preemptive Rights,1,5.0
30,32,-,21,100.0
31,35,18,2,9.52
32,35,52,2,9.52
33,35,"دورية
Cycle",1,4.76
34,35,-,1,4.76
35,35,2,1,4.76
36,35,5,1,4.76
37,35,20,1,4.76
38,35,77,1,4.76
39,35,83 [1],1,4.76
40,35,54,1,4.76
41,35,55,1,4.76
42,35,42,1,4.76
43,35,52 [2],1,4.76
44,35,50,1,4.76
45,35,49,1,4.76
46,35,46,1,4.76
47,35,23,1,4.76
48,35,[1] Including inspection of the Saudi Stock Exchange (Tadawul),1,4.76
49,35,[2] Including inspection of the Saudi Stock Exchange (Tadawul) and The Securities Depository Center Company.,1,4.76
50,40,-,6,28.57
51,40,طرح عام لأدوات الدين,1,4.76
52,40,Debt Instrument Public Offering,1,4.76
53,40,3,1,4.76
54,40,13,1,4.76
55,40,5,1,4.76
56,40,7.7,1,4.76
57,40,7,1,4.76
58,40,5.6,1,4.76
59,40,0.2,1,4.76
60,40,7.5,1,4.76
61,40,4.5,1,4.76
62,40,3.9,1,4.76
63,40,10,1,4.76
64,40,0.1,1,4.76
65,40,1,1,4.76
66,41,-,13,61.9
67,41,0,2,9.52
68,41,تحويل الديون,1,4.76
69,41,Debts Transfer,1,4.76
70,41,0.62112885,1,4.76
71,41,2.83333334,1,4.76
72,41,2.2,1,4.76
73,41,0.5,1,4.76
74,43,"العنصر
Item",1,10.0
75,43,-,1,10.0
76,43,"أسهم مدرجة
Listed Shares",1,10.0
77,43,"صناديق استثمارية
Investment Funds",1,10.0
78,43,"أدوات دين
Debt Instruments",1,10.0
79,43,"التوريق
Securitization",1,10.0
80,43,"الملكية الخاصة/شركات تابعة وشقيقة
Private Equity/ Subsidiaries and Sister Companies",1,10.0
81,43,"عقارات
Real Estate",1,10.0
82,43,"المجموع
Total",1,10.0
83,43,[1] تتضمن بيانات مؤسسات السوق المالية مرخص لهم بالترتيب والمشورة وإدارة محافظ المستثمرين ذوي الخبرة وإدارة الصناديق الخاصة غير العقارية,1,10.0
84,100,"نوع الإعلان
Type of Announcement",1,7.69
85,100,"معلومات جوهرية
Material Information",1,7.69
86,100,"نتائج مالية
  Financial Results",1,7.69
87,100,"توصية مجلس إدارة الشركة بزيادة رأس مالها عن طريق طرح أسهم حقوق أولوية
Board of Directors’ Recommendation to Increase Capital Through Issuing Preemptive Rights",1,7.69
88,100,"توصية مجلس إدارة الشركة بزيادة رأس مالها عن طريق منح أسهم
Board of Directors’ Recommendation to Increase Capital Through Bonus Shares Issue",1,7.69
89,100,"توصية مجلس إدارة الشركة بخفض رأس مالها
Board of Directors’ Recommendation to Decrease Capital",1,7.69
90,100,"الدعوة إلى حضور اجتماعات الجمعيات العمومية والإعلانات المتعلقة بنتائج تلك الاجتماعات
Invitation to General Assemblies, and the Announcements
Related of their Results",1,7.69
91,100,"توزيع أرباح
Dividends",1,7.69
92,100,"إعلان إيضاحي
Explanatory Announcement",1,7.69
93,100,"أي تغير في تشكيل أعضاء مجلس إدارة الشركة وإداراتها العليا
Change in the Composition of Corporate Board of Directors and Top Management",1,7.69
94,100,"موافقة على منتج جديد
Approval on New Product",1,7.69
95,100,"التطورات أو الأحداث المهمة الأخرى
Other Developments",1,7.69
96,100,"الإجمالي
Total",1,7.69
97,101,-,9,69.23
98,101,2006,1,7.69
99,101,1347,1,7.69
100,101,377,1,7.69
101,101,1724,1,7.69
102,102,-,9,69.23
103,102,2007,1,7.69
104,102,1058,1,7.69
105,102,431,1,7.69
106,102,1489,1,7.69
107,103,-,7,53.85
108,103,2008,1,7.69
109,103,534,1,7.69
110,103,7,1,7.69
111,103,15,1,7.69
112,103,1231,1,7.69
113,103,1787,1,7.69
114,120,-,41,97.62
115,120,ANNUAL REPORT STATISTICAL APPENDIX CONTENT 2024,1,2.38
116,121,-,39,92.86
117,121,إحصاءات السوق المالية,1,2.38
118,121,إحصاءات مؤسسات السوق المالية,1,2.38
119,121,إحصاءات إشرافية ورقابية,1,2.38
120,122,-,4,9.52
121,122,عدد طلبات طرح وتنظيم الأوراق المالية التي وافقت عليها الهيئة وإشعارات الطرح الخاص التي تلقتها,1,2.38
122,122,الطرح العام وتسجيل الأسهم (مليار ريال) مصنفةً بحسب نوع الطرح,1,2.38
123,122,عدد المكتتبين الأفراد (بالمليون) مصنفين بحسب قنوات اكتتاب الطرح العام,1,2.38
124,122,مبالغ اكتتاب الأفراد (مليار ريال) مصنفة بحسب قنوات اكتتاب الطرح العام قبل رد الفائض,1,2.38
125,122,تكوين مجالس الإدارة في الشركات المدرجة مصنفةً بحسب صفة العضوية,1,2.38
126,122,مؤشرات الصكوك وأدوات الدين المدرجة في السوق المالية السعودية (تداول),1,2.38
127,122,عدد الصناديق العامة مصنفةً بحسب  نوع استثمار الصندوق,1,2.38
128,122,عدد المشتركين في الصناديق  العامة مصنفين بحسب نوع استثمار الصندوق,1,2.38
129,122,قيم أصول الصناديق  العامة (مليون ريال) مصنفةً بحسب نوع الاستثمار,1,2.38
130,122,مؤشرات الصناديق العامة المستثمرة في الأسهم مصنفة بحسب النطاق الجغرافي,1,2.38
131,122,عدد الصناديق  الخاصة مصنفة بحسب نوع استثمار الصندوق,1,2.38
132,122,عدد المشتركين في الصناديق  الخاصة مصنفين بحسب نوع استثمار الصندوق,1,2.38
133,122,قيم أصول الصناديق  الخاصة مصنفة حسب نوع الاستثمار,1,2.38
134,122,عدد المحافظ الخاصة المدارة وإجمالي أصولها مصنفة حسب الفئة الاستثمارية,1,2.38
135,122,إجمالي قيم الأصول المدارة,1,2.38
136,122,تطور الاستثمار الأجنبي في السوق المالية السعودية,1,2.38
137,122,الإعلانات المنشورة في الموقع الإلكتروني لشركة السوق المالية السعودية (تداول) مصنفةً بحسب نوع التطورات الجوهرية في الإعلانات,1,2.38
138,122,المنشآت ذات الأغراض الخاصة المرخصة,1,2.38
139,122,عدد قرارات التراخيص مصنفةً بحسب نوع القرار,1,2.38
140,122,عدد  مؤسسات السوق المالية مصنفين بحسب حصولهم على خطاب ممارسة العمل,1,2.38
141,122,عدد تراخيص أنشطة أعمال الأوراق المالية مصنفةً بحسب ممارسة/عدم ممارسة العمل,1,2.38
142,122,الموظفون العاملون لدى مؤسسات السوق المالية ونسبة التوطين,1,2.38
143,122,عدد مؤسسات السوق المالية مصنفين بحسب عدد أنشطة أعمال الأوراق المالية المرخص لهم في ممارستها,1,2.38
144,122,استثمارات مؤسسات السوق المالية  للأعوام  2017م-2024م (مليون ريال),1,2.38
145,122,المراجعات للبيانات المالية لمؤسسات السوق المالية مصنفةً بحسب نوع المراجعة,1,2.38
146,122,قائمة الدخل المجمّعة (غير مدققة) للأعوام 2017م-2024م  (مليون ريال) لمؤسسات السوق المالية,1,2.38
147,122,قائمة المركز المالي المجمّعة (غير مدققة) للأعوام  2017م-2024م – الأصول (مليون ريال) لمؤسسات السوق المالية,1,2.38
148,122,قائمة المركز المالي المجمّعة (غير مدققة) للأعوام   2017م-2024م – الالتزامات (مليون ريال) لمؤسسات السوق المالية,1,2.38
149,122,قائمة المركز المالي المجمّعة (غير مدققة) للأعوام  2017م-2024م – حقوق الملكية (مليون ريال) لمؤسسات السوق المالية,1,2.38
150,122,أبرز تطورات الرقابة على التداولات والتعاملات,1,2.38
151,122,عمليات البحث المكثف للتداولات والتعاملات المشتبه في مخالفتها الأنظمة واللوائح التي تختص الهيئة بتطبيقها مصنفة بحسب مصدر البحث,1,2.38
152,122,عدد الزيارات/المهام التفتيشية التي نفذتها الهيئة مصنفةً بحسب نوعها,1,2.38
153,122,نسب ملاحظات مهام التفتيش الدوري على مؤسسات السوق المالية مصنفةً بحسب موضوعاتها,1,2.38
154,122,عدد الأعمال التي قامت بها الهيئة المتعلقة بمكافحة غسل الأموال وتمويل الإرهاب,1,2.38
155,122,عدد الملاحظات الواردة في تقرير مراجع الحسابات للقوائم المالية السنوية للشركات المدرجة التي فحصت من قبل الهيئة,1,2.38
156,122,عدد الشركات التي نشرت الهيئة قوائمها المالية السنوية مصنفةً بحسب ورود / عدم ورود ملاحظات على قوائمها,1,2.38
157,122,عدد القضايا الواردة والمتعلقة بنظام السوق المالية ونظام الشركات ونظام مكافحة غسل الأموال واللوائح التنفيذية مصنفة بحسب نوع المخالفة,1,2.38
158,122,عدد القضايا المنتهية إجراءاتها والمتعلقة بنظام السوق المالية ونظام الشركات ونظام مكافحة غسل الأموال واللوائح التنفيذية مصنفةً بحسب نوع المخالفة,1,2.38
159,123,-,1,2.38
160,123,Capital Market Statistics,1,2.38
161,123,Number of Applications for Securities Offerings and Corporate Actions Approved by CMA and Private Placement Notifications Received,1,2.38
162,123,Public Offering and Shares Registration (SR Billion) Raised from Securities Offerings by Type,1,2.38
163,123,Number of Individual Subscribers (in Millions) to IPOs by Subscription Channel,1,2.38
164,123,Individual Subscription Amounts (SR Billion) by Subscription Channel before Returning Oversubscribed Amounts,1,2.38
165,123,Composition of Boards of Directors of Listed Companies Classified by Membership Type,1,2.38
166,123,sukuk and debt instruments in the saudi capital market,1,2.38
167,123,Number of Public Funds by Type of Investment,1,2.38
168,123,Number of Subscribers to public Funds by Type of Investment,1,2.38
169,123,Values of Public  Funds’ Assets under Management (AUM) (SR Million) by Type of Investment,1,2.38
170,123,Indicators of Public Funds in Equities Classified Geographically,1,2.38
171,123,Number of Private Funds Classified by Type of Investment,1,2.38
172,123,Number of Subscribers to Private Funds by Type of Investment,1,2.38
173,123,Values of Private Funds Assets Classified by Type of Investment,1,2.38
174,123,Number and Total Assets Values of Discretionary Portfolio Management (DPM) Classified by Type of Investments,1,2.38
175,123,Total Value of Asset Under Management,1,2.38
176,123,foreign investment in the saudi capital market,1,2.38
177,123,Announcements on the Saudi Stock Exchange (Tadawul) Website Classified by Type of Material Developments,1,2.38
178,123,Licensed Special Purpose Entities,1,2.38
179,123,Capital Market Institutions Statistics,1,2.38
180,123,Number of Authorization Decisions by Type,1,2.38
181,123,Number of Capital Market Institutions Classified by Possession of Business Commencement Letter,1,2.38
182,123,Number of Valid Licenses of Securities Business Activities by Business Commencement Status,1,2.38
183,123,Employees Working for Capital Market Institutions and the Saudization Percentage,1,2.38
184,123,Number of Capital Market Institutions Classified by Number of Licensed Securities Business Activities,1,2.38
185,123,Investments of Capital Market Institutions in 2017 - 2024 (SR Million),1,2.38
186,123,Financial Reviews of Capital Market Institutions Classified by Type,1,2.38
187,123,Capital Market Institutions Consolidated Income Statement for the Years 2017 – 2024 (Unaudited) (SR Million),1,2.38
188,123,Consolidated Balance Sheet (Unaudited) – for the Years 2017 – 2024 CMIs Assets (SR Million),1,2.38
189,123,Consolidated Balance Sheet (Unaudited) – for the Years 2017 – 2024 CMIs Liabilities (SR Million),1,2.38
190,123,Consolidated Balance Sheet (Unaudited) – for the Years 2017 – 2024 Capital Market Institutions Shareholder Equity (SR Million),1,2.38
191,123,Supervisory and Regulatory Statistics,1,2.38
192,123,Prominent Developments of Surveillance of Trades and Transactions,1,2.38
193,123,Intensive Scans for Trades and Deals Suspected of Violating the CML and its Implementing Regulation,1,2.38
194,123,Number of Inspection Visits/Tasks Carried out by CMA by Type,1,2.38
195,123,Observations of Cycle Inspections Classified by Subject,1,2.38
196,123,Actions Taken by CMA on Anti-Money Laundering and Counter Terrorist Financing,1,2.38
197,123,Number of Qualified audit Opinions on the Annual Financial Statements of Listed Companies that Were Reviewed by CMA,1,2.38
198,123,Reviewed Annual Financial Statements of Listed Companies with Qualified/Unqualified Audit Opinions,1,2.38
199,123,Filed CML Violation Cases by Type of Violation,1,2.38
200,123,Finalized CML Violation Cases Classified by Type,1,2.38
201,124,-,4,9.52
202,124,Table(1),1,2.38
203,124,Table(2),1,2.38
204,124,Table(3),1,2.38
205,124,Table(4),1,2.38
206,124,Table(5),1,2.38
207,124,Table(6),1,2.38
208,124,Table(7),1,2.38
209,124,Table(8),1,2.38
210,124,Table(9),1,2.38
211,124,Table(10),1,2.38
212,124,Table(11),1,2.38
213,124,Table(12),1,2.38
214,124,Table(13),1,2.38
215,124,Table(14),1,2.38
216,124,Table(15),1,2.38
217,124,Table(16),1,2.38
218,124,Table(17),1,2.38
219,124,Table(18),1,2.38
220,124,Table(19),1,2.38
221,124,Table(20),1,2.38
222,124,Table(21),1,2.38
223,124,Table(22),1,2.38
224,124,Table(23),1,2.38
225,124,Table(24),1,2.38
226,124,Table(25),1,2.38
227,124,Table(26),1,2.38
228,124,Table(27),1,2.38
229,124,Table(28),1,2.38
230,124,Table(29),1,2.38
231,124,Table(30),1,2.38
232,124,Table(31),1,2.38
233,124,Table(32),1,2.38
234,124,Table(33),1,2.38
235,124,Table(34),1,2.38
236,124,Table(35),1,2.38
237,124,Table(36),1,2.38
238,124,Table(37),1,2.38
239,124,Table(38),1,2.38
240,125,"المنشأة 
Entity",1,9.09
241,125,"نشاط إصدار أدوات الدين 
Special purpose entites issue debt instruments",1,9.09
242,125,"أدوات دين مدعومة بأصول 
Asset-backed debt instruments",1,9.09
243,125,"أدوات دين مرتبطة بأصول 
Asset-linked resource debt instruments",1,9.09
244,125,"أدوات دين مبنية على ديون 
Debt-based resource debt instruments",1,9.09
245,125,"نشاط إصدار الوحدات الاستثمارية 
Special purpose entities issue investment units",1,9.09
246,125,"صناديق عامة 
Public Fund",1,9.09
247,125,"صناديق خاصة 
Private Fund",1,9.09
248,125,"الإجمالي
Total",1,9.09
249,125,[1]  يعـد هـذا الترخيـص الأول مــن نوعــه لتأســيس منشــأة ذات أغــراض خاصــة بالمملكــة لممارســة نشــاط إصــدار أدوات الديــن.,1,9.09
250,125,[1] This is the first license of its kind to establish a special purpose facility in the Kingdom to engage in the activity of issuing debt instruments.,1,9.09
251,126,-,8,72.73
252,126,1,2,18.18
253,126,[1]  2018,1,9.09
254,127,-,8,72.73
255,127,2,2,18.18
256,127,2019,1,9.09
257,128,-,4,36.36
258,128,0,4,36.36
259,128,2,2,18.18
260,128,2020,1,9.09
261,129,-,4,36.36
262,129,2021,1,9.09
263,129,2,1,9.09
264,129,0,1,9.09
265,129,27,1,9.09
266,129,3,1,9.09
267,129,5,1,9.09
268,129,37,1,9.09
269,130,-,4,36.36
270,130,2022,1,9.09
271,130,8,1,9.09
272,130,2,1,9.09
273,130,82,1,9.09
274,130,5,1,9.09
275,130,59,1,9.09
276,130,156,1,9.09
277,131,-,4,36.36
278,131,5,2,18.18
279,131,2023,1,9.09
280,131,22,1,9.09
281,131,339,1,9.09
282,131,93,1,9.09
283,131,464,1,9.09
284,132,-,4,36.36
285,132,2024,1,9.09
286,132,19,1,9.09
287,132,6,1,9.09
288,132,790,1,9.09
289,132,5,1,9.09
290,132,125,1,9.09
291,132,945,1,9.09
292,138,-,4,18.18
293,138,"تنبيهات نظام الرقابة [1]
Surveillance System Alerts",1,4.55
294,138,34294,1,4.55
295,138,25374,1,4.55
296,138,20722,1,4.55
297,138,22303,1,4.55
298,138,26323,1,4.55
299,138,26251,1,4.55
300,138,30824,1,4.55
301,138,30549,1,4.55
302,138,31896,1,4.55
303,138,35561,1,4.55
304,138,36111,1,4.55
305,138,29043,1,4.55
306,138,49247,1,4.55
307,138,53187,1,4.55
308,138,42353,1,4.55
309,138,32376,1,4.55
310,138,39981,1,4.55
311,140,-,9,40.91
312,140,77,2,9.09
313,140,"الاستفسارات الرقابية
Surveillance Inquiries",1,4.55
314,140,109,1,4.55
315,140,376,1,4.55
316,140,390,1,4.55
317,140,279,1,4.55
318,140,60,1,4.55
319,140,194,1,4.55
320,140,156,1,4.55
321,140,152,1,4.55
322,140,59,1,4.55
323,140,44,1,4.55
324,142,-,19,100.0
325,143,"العام
Year",1,5.26
326,143,2009,1,5.26
327,143,2010,1,5.26
328,143,2011,1,5.26
329,143,2012,1,5.26
330,143,2013,1,5.26
331,143,2014 [2],1,5.26
332,143,2015,1,5.26
333,143,2016,1,5.26
334,143,2017,1,5.26
335,143,2018,1,5.26
336,143,2019,1,5.26
337,143,2020,1,5.26
338,143,2021,1,5.26
339,143,2022,1,5.26
340,143,2023,1,5.26
341,143,2024,1,5.26
342,143,[1]  عدد الزيارات التفتيشية الدورية المتعلقة بمكافحة غسل الأموال وتمويل الإرهاب بلغت في عام 2023م 17 زيارات ، وفي عام 2024م10 زيارات,1,5.26
343,143,[2]  تشمل القضايا الواردة من الجهات الحكومية والتي تتعلق بأوامر التنفيذ لهذا العام والأعوام التي تسبقه فقط.,1,5.26
344,146,-,21,100.0
345,152,-,6,40.0
346,152,"أسهم ملكية خاصة
Private equity",1,6.67
347,152,50,1,6.67
348,152,69,1,6.67
349,152,87,1,6.67
350,152,108,1,6.67
351,152,110,1,6.67
352,152,117,1,6.67
353,152,163,1,6.67
354,152,200,1,6.67
355,153,-,11,73.33
356,153,"رأس مال جريء
Venture capital",1,6.67
357,153,21,1,6.67
358,153,27,1,6.67
359,153,34,1,6.67
360,160,-,7,46.67
361,160,1,3,20.0
362,160,"مغذي
Feeder Fund",1,6.67
363,160,2,1,6.67
364,160,5,1,6.67
365,160,22,1,6.67
366,160,26,1,6.67
367,161,-,6,40.0
368,161,6,3,20.0
369,161,"تمويلي
Credit Base Fund",1,6.67
370,161,1,1,6.67
371,161,7,1,6.67
372,161,10,1,6.67
373,161,30,1,6.67
374,161,40,1,6.67
375,162,-,10,66.67
376,162,3,2,13.33
377,162,"وقفي
Endowment",1,6.67
378,162,1,1,6.67
379,162,5,1,6.67
380,170,2,11,57.89
381,170,-,4,21.05
382,170,1,2,10.53
383,170,"متوازن
Balanced",1,5.26
384,170,3,1,5.26
385,171,-,14,73.68
386,171,"رأس المال المحمي
Protected Capital",1,5.26
387,171,3,1,5.26
388,171,8,1,5.26
389,171,5,1,5.26
390,171,2,1,5.26
391,172,3,9,47.37
392,172,-,3,15.79
393,172,6,2,10.53
394,172,"صناديق المؤشرات المتداولة
ETFs",1,5.26
395,172,2,1,5.26
396,172,7,1,5.26
397,172,9,1,5.26
398,172,12,1,5.26
399,173,-,9,47.37
400,173,17,3,15.79
401,173,"صناديق الاستثمار العقاري المتداولة
REITs",1,5.26
402,173,1,1,5.26
403,173,7,1,5.26
404,173,16,1,5.26
405,173,18,1,5.26
406,173,19,1,5.26
407,173,20,1,5.26
408,176,"النوع
Type",1,2.78
409,176,"مخالفة قواعد طرح الأوراق المالية والالتزامات المستمرة
Violation of RULES ON THE OFFER OF SECURITIES AND CONTINUING OBLIGATIONS",1,2.78
410,176,"مخالفة لائحة حوكمة الشركات
Violation of Corporate Governance Regulations",1,2.78
411,176,"مخالفة لائحة الاندماج والاستحواذ
Violation of Merger and Acquisition Regulations",1,2.78
412,176,"مخالفة لائحة صناديق الاستثمار/العقاري
Violation of Investment Funds/Real Estate Investment Funds Regulations",1,2.78
413,176,"مخالفة لائحة مؤسسات السوق المالية
Violation of the Capital Market Institutions Regulations",1,2.78
414,176,مخالفة وكالات التصنيف الائتماني,1,2.78
415,176,"مخالفة تعليمات الحسابات الاستثمارية
Violation of Investment Accounts Instructions",1,2.78
416,176,"مخالفة التعليمات الخاصة بإعلانات الشركات
Violation of Instructions for Companies’ Announcements",1,2.78
417,176,القواعد المنظمة للمنشآت ذات الأغراض الخاصة,1,2.78
418,176,"مخالفة قواعد الكفاية المالية
Violation of Prudential Rules",1,2.78
419,176,"مخالفة لائحة سلوكيات السوق
Violation of MARKET CONDUCT REGULATIONS",1,2.78
420,176,"مخالفة لائحة أعمال الأوراق المالية
Violation of the Securities Business Regulations",1,2.78
421,176,"مخالفة قواعد تسجيل مراجعي حسابات المنشآت الخاضعة لإشراف الهيئة
Violation of Rules for Registering Auditors of Entities Subject to the Authority's Supervision",1,2.78
422,176,"مخالفة قواعد الإدراج
Violation of Listing Rules",1,2.78
423,176,"مخالفة قرارات مجلس الهيئة
Violation of CMA Board Resolutions",1,2.78
424,176,"مخالفة تعاميم الهيئة
Vaiolation of CMA's Circulars",1,2.78
425,176,مخالفة اللائحة التنفيذية لنظام الشركات الخاصة بشركات المساهمة  المدرجة,1,2.78
426,176,"مخالفة لائحة مراكز مقاصة الأوراق المالية
Violation of Securities Central Counterparties Regulations",1,2.78
427,176,"الإجراءات والتعليمات الخاصة بالشركات المدرجة أسهمها في السوق التي بلغت خسائرها المتراكمة 20% فأكثر من رأس مالها
Procedures and instructions for listed companies with accumulated losses amounted to 20% or more of their capital",1,2.78
428,176,"مخالفة نظام الشركات
Violation of Companies Law",1,2.78
429,176,"مخالفة نظام مكافحة غسل الأموال ونظام مكافحة جرائم الإرهاب وتمويله ولائحتيهما التنفيذية 
Violation of The Money-laundering Statute",1,2.78
430,176,"مخالفة نظام السوق المالية
Violation of Capital markets law",1,2.78
431,176,"مخالفة تعليمات بناء سجل الأوامر و تخصيص الأسهم في الاكتتابات الأولية
Violation of Book Building Process And Allocation Instructions",1,2.78
432,176,"مخالفة لائحة أسواق و مركز إيداع الأوراق المالية
Violation of Securities Exchanges And depository Centers Regulations",1,2.78
433,176,"مخالفة لائحة تعليمات الحوكمة الشرعية في مؤسسات السوق المالية
Violation of Shariah Governance in Capital Market Institutions Instructions",1,2.78
434,176,"مخالفة تلاعب وتضليل/ سلوكيات السوق
Violation of Manipulation and Misleading",1,2.78
435,176,"مخالفة إفصاح
Disclosure Violation",1,2.78
436,176,"مخالفة تداول بناءً على معلومة داخلية
Violation of Insider Trading",1,2.78
437,176,"مخالفة تملك/ تصرف نسب من دون إشعار الهيئة
Violation of Ownership/Disposal of Percentages without Notifying CMA",1,2.78
438,176,"مخالفة لائحة طرح الأوراق المالية
Violation of the “Offers of Securities Regulations”",1,2.78
439,176,"مخالفات أخرى لقواعد التسجيل والإدراج
Other Violations of Listing Rules",1,2.78
440,176,"مخالفة التداول خلال فترة الحظر
 Trading During Prohibited Period",1,2.78
441,176,"مخالفات أخرى
Other Violations",1,2.78
442,176,"الإجمالي
Total",1,2.78
443,176,[1] قد تشترك أكثر من مخالفة في قضية واحدة، وعليه تم تصنيف  (*) القضية بناء على المخالفة الأبرز,1,2.78
444,177,-,29,80.56
445,177,2007,1,2.78
446,177,1,1,2.78
447,177,25,1,2.78
448,177,8,1,2.78
449,177,6,1,2.78
450,177,18,1,2.78
451,177,58,1,2.78
452,178,-,29,80.56
453,178,2008,1,2.78
454,178,5,1,2.78
455,178,46,1,2.78
456,178,8,1,2.78
457,178,12,1,2.78
458,178,9,1,2.78
459,178,80,1,2.78
460,179,-,24,66.67
461,179,4,2,5.56
462,179,2009,1,2.78
463,179,8,1,2.78
464,179,10,1,2.78
465,179,53,1,2.78
466,179,3,1,2.78
467,179,34,1,2.78
468,179,28,1,2.78
469,179,7,1,2.78
470,179,6,1,2.78
471,179,157,1,2.78
472,180,-,23,63.89
473,180,12,2,5.56
474,180,2010,1,2.78
475,180,7,1,2.78
476,180,25,1,2.78
477,180,37,1,2.78
478,180,44,1,2.78
479,180,49,1,2.78
480,180,4,1,2.78
481,180,3,1,2.78
482,180,8,1,2.78
483,180,19,1,2.78
484,180,220,1,2.78
485,181,-,22,61.11
486,181,27,2,5.56
487,181,1,2,5.56
488,181,4,2,5.56
489,181,2011,1,2.78
490,181,45,1,2.78
491,181,69,1,2.78
492,181,29,1,2.78
493,181,73,1,2.78
494,181,2,1,2.78
495,181,21,1,2.78
496,181,303,1,2.78
497,182,-,21,58.33
498,182,2,2,5.56
499,182,1,2,5.56
500,182,2012,1,2.78
501,182,51,1,2.78
502,182,45,1,2.78
503,182,27,1,2.78
504,182,35,1,2.78
505,182,20,1,2.78
506,182,67,1,2.78
507,182,11,1,2.78
508,182,8,1,2.78
509,182,270,1,2.78
510,182,"[1] More than one violation may be involved in one case, and accordingly (*) the case was classified according to the most prominent violation",1,2.78
511,183,-,23,63.89
512,183,3,2,5.56
513,183,1,2,5.56
514,183,2013,1,2.78
515,183,9,1,2.78
516,183,6,1,2.78
517,183,12,1,2.78
518,183,24,1,2.78
519,183,7,1,2.78
520,183,2,1,2.78
521,183,16,1,2.78
522,183,84,1,2.78
523,184,-,20,55.56
524,184,1,3,8.33
525,184,2,2,5.56
526,184,2014,1,2.78
527,184,32,1,2.78
528,184,4,1,2.78
529,184,30,1,2.78
530,184,12,1,2.78
531,184,16,1,2.78
532,184,8,1,2.78
533,184,5,1,2.78
534,184,109,1,2.78
535,184,27,1,2.78
536,184,250,1,2.78
537,185,-,19,52.78
538,185,2,3,8.33
539,185,12,2,5.56
540,185,2015,1,2.78
541,185,26,1,2.78
542,185,87,1,2.78
543,185,89,1,2.78
544,185,44,1,2.78
545,185,23,1,2.78
546,185,210,1,2.78
547,185,25,1,2.78
548,185,24,1,2.78
549,185,1,1,2.78
550,185,57,1,2.78
551,185,616,1,2.78
552,186,-,19,52.78
553,186,28,3,8.33
554,186,2016,1,2.78
555,186,24,1,2.78
556,186,14,1,2.78
557,186,112,1,2.78
558,186,5,1,2.78
559,186,8,1,2.78
560,186,4,1,2.78
561,186,22,1,2.78
562,186,98,1,2.78
563,186,0,1,2.78
564,186,27,1,2.78
565,186,65,1,2.78
566,186,2,1,2.78
567,186,465,1,2.78
568,187,-,19,52.78
569,187,1,3,8.33
570,187,0,2,5.56
571,187,6,2,5.56
572,187,2017,1,2.78
573,187,12,1,2.78
574,187,36,1,2.78
575,187,20,1,2.78
576,187,2,1,2.78
577,187,78,1,2.78
578,187,15,1,2.78
579,187,5,1,2.78
580,187,28,1,2.78
581,187,211,1,2.78
582,188,-,18,50.0
583,188,6,3,8.33
584,188,0,2,5.56
585,188,16,2,5.56
586,188,2018,1,2.78
587,188,10,1,2.78
588,188,22,1,2.78
589,188,2,1,2.78
590,188,11,1,2.78
591,188,14,1,2.78
592,188,5,1,2.78
593,188,18,1,2.78
594,188,21,1,2.78
595,188,25,1,2.78
596,188,178,1,2.78
597,189,-,18,50.0
598,189,6,4,11.11
599,189,0,2,5.56
600,189,2019,1,2.78
601,189,3,1,2.78
602,189,19,1,2.78
603,189,17,1,2.78
604,189,5,1,2.78
605,189,11,1,2.78
606,189,7,1,2.78
607,189,90,1,2.78
608,189,8,1,2.78
609,189,1,1,2.78
610,189,23,1,2.78
611,189,208,1,2.78
612,190,-,22,61.11
613,190,2,3,8.33
614,190,2020,1,2.78
615,190,39,1,2.78
616,190,16,1,2.78
617,190,6,1,2.78
618,190,43,1,2.78
619,190,14,1,2.78
620,190,50,1,2.78
621,190,1,1,2.78
622,190,3,1,2.78
623,190,36,1,2.78
624,190,214,1,2.78
625,191,-,19,52.78
626,191,1,5,13.89
627,191,2021,1,2.78
628,191,20,1,2.78
629,191,29,1,2.78
630,191,6,1,2.78
631,191,22,1,2.78
632,191,21,1,2.78
633,191,26,1,2.78
634,191,7,1,2.78
635,191,5,1,2.78
636,191,10,1,2.78
637,191,9,1,2.78
638,191,160,1,2.78
639,192,-,19,52.78
640,192,7,4,11.11
641,192,1,4,11.11
