المنطقة,المدينة,نوع القطاع,نوع الخدمة,نوع الوكالة,التاريخ ميلادي,التاريخ هجري,عدد الوكالات الصادرة
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,المطالبات والمحاكم,2026/07/01,1448/01/16,"4,676"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,العقارات,2026/07/01,1448/01/16,"2,603"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,الجوازات,2026/07/01,1448/01/16,"1,898"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,البنوك والمصارف,2026/07/01,1448/01/16,"1,806"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,السيارات,2026/07/01,1448/01/16,"1,651"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,الوزارات الحكومية,2026/07/01,1448/01/16,725
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,المرور,2026/07/01,1448/01/16,535
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,الشركات والمؤسسات الأهلية,2026/07/01,1448/01/16,416
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,الجهات الأمنية,2026/07/01,1448/01/16,388
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,السجلات التجارية,2026/07/01,1448/01/16,380
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,وكالة خارج المملكة العربية السعودية فقط,2026/07/01,1448/01/16,358
منطقة الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,المطالبات والمحاكم,2026/07/01,1448/01/16,324
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,الأمانات والبلديات,2026/07/01,1448/01/16,284
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,الجهات التعليمية,2026/07/01,1448/01/16,258
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,إدارة الأحوال المدنية,2026/07/01,1448/01/16,250
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,وزارة الموارد البشرية والتنمية الاجتماعية,2026/07/01,1448/01/16,235
منطقة مكة المكرمه,جده,القطاع الخاص,خدمة إلكترونية جزئيا,المطالبات والمحاكم,2026/07/01,1448/01/16,218
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,طلب الخدمات,2026/07/01,1448/01/16,210
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,الرواتب والمستحقات,2026/07/01,1448/01/16,209
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,شركات الاتصالات,2026/07/01,1448/01/16,202
الخدمات الرقمية,كتابة عدل مدمجة - افتراضية,القطاع العام,خدمة إلكترونية جزئيا,المطالبات والمحاكم,2026/07/01,1448/01/16,192
منطقة الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,العقارات,2026/07/01,1448/01/16,176
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,العوائد السنوية,2026/07/01,1448/01/16,162
