المنطقة,المدينة,نوع القطاع,نوع الخدمة,نوع الوكالة,التاريخ ميلادي,التاريخ هجري,عدد الوكالات الصادرة
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,المطالبات والمحاكم,2026/06/01,1447/12/15,"2,418"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,العقارات,2026/06/01,1447/12/15,"1,570"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,البنوك والمصارف,2026/06/01,1447/12/15,"1,270"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,السيارات,2026/06/01,1447/12/15,"1,143"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,الجوازات,2026/06/01,1447/12/15,960
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,المرور,2026/06/01,1447/12/15,419
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,الوزارات الحكومية,2026/06/01,1447/12/15,409
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,الشركات والمؤسسات الأهلية,2026/06/01,1447/12/15,342
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,السجلات التجارية,2026/06/01,1447/12/15,245
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,وزارة الموارد البشرية والتنمية الاجتماعية,2026/06/01,1447/12/15,191
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,وكالة خارج المملكة العربية السعودية فقط,2026/06/01,1447/12/15,190
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,الجهات الأمنية,2026/06/01,1447/12/15,186
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,شركات الاتصالات,2026/06/01,1447/12/15,161
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,طلب الخدمات,2026/06/01,1447/12/15,135
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,الأمانات والبلديات,2026/06/01,1447/12/15,125
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,الرواتب والمستحقات,2026/06/01,1447/12/15,110
منطقة الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,المطالبات والمحاكم,2026/06/01,1447/12/15,103
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,إدارة الأحوال المدنية,2026/06/01,1447/12/15,83
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,شبكة إيجار الإلكترونية,2026/06/01,1447/12/15,77
منطقة الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,العقارات,2026/06/01,1447/12/15,68
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,شركة الكهرباء,2026/06/01,1447/12/15,59
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,التعويضات والمساعدات,2026/06/01,1447/12/15,51
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,النكاح,2026/06/01,1447/12/15,50
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,مكتب الإستقدام,2026/06/01,1447/12/15,48
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,الجهات التعليمية,2026/06/01,1447/12/15,46
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,الشركات,2026/06/01,1447/12/15,46
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,الهيئات الحكومية,2026/06/01,1447/12/15,46
منطقة مكة المكرمه,جده,القطاع الخاص,خدمة إلكترونية جزئيا,العقارات,2026/06/01,1447/12/15,39
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,المؤسسات الحكومية,2026/06/01,1447/12/15,34
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,شركة المياه,2026/06/01,1447/12/15,33
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,صندوق التنمية العقارية,2026/06/01,1447/12/15,33
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,المنح الزراعية,2026/06/01,1447/12/15,32
منطقة مكة المكرمه,جده,القطاع الخاص,خدمة إلكترونية جزئيا,المطالبات والمحاكم,2026/06/01,1447/12/15,32
منطقة مكة المكرمه,مكة المكرمة,القطاع الخاص,خدمة إلكترونية جزئيا,المطالبات والمحاكم,2026/06/01,1447/12/15,22
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,إثباتات المحاكم,2026/06/01,1447/12/15,18
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,المنح السكنية,2026/06/01,1447/12/15,18
منطقة الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,البنوك والمصارف,2026/06/01,1447/12/15,18
منطقة مكة المكرمه,جده,القطاع الخاص,خدمة إلكترونية جزئيا,الشركات,2026/06/01,1447/12/15,18
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,هيئة الزكاة والضريبة والجمارك,2026/06/01,1447/12/15,17
منطقة مكة المكرمه,مكة المكرمة,القطاع الخاص,خدمة إلكترونية جزئيا,العقارات,2026/06/01,1447/12/15,16
منطقة مكة المكرمه,الطائف,القطاع الخاص,خدمة إلكترونية جزئيا,المطالبات والمحاكم,2026/06/01,1447/12/15,15
منطقة مكة المكرمه,جده,القطاع الخاص,خدمة إلكترونية جزئيا,البنوك والمصارف,2026/06/01,1447/12/15,15
منطقة الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,وكالة خارج المملكة العربية السعودية فقط,2026/06/01,1447/12/15,12
منطقة الشرقية,الدمام,القطاع الخاص,خدمة إلكترونية جزئيا,العقارات,2026/06/01,1447/12/15,12
منطقة الشرقية,الدمام,القطاع الخاص,خدمة إلكترونية جزئيا,المطالبات والمحاكم,2026/06/01,1447/12/15,11
منطقة تبوك,تبوك,القطاع الخاص,خدمة إلكترونية جزئيا,المطالبات والمحاكم,2026/06/01,1447/12/15,11
