المنطقة,المدينة,نوع القطاع,نوع الخدمة,نوع الوكالة,التاريخ ميلادي,التاريخ هجري,عدد الوكالات الصادرة
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,المطالبات والمحاكم,2026/04/01,1447/10/13,"4,819"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,العقارات,2026/04/01,1447/10/13,"2,524"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,الجوازات,2026/04/01,1447/10/13,"1,867"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,البنوك والمصارف,2026/04/01,1447/10/13,"1,728"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,السيارات,2026/04/01,1447/10/13,"1,569"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,الوزارات الحكومية,2026/04/01,1447/10/13,771
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,المرور,2026/04/01,1447/10/13,601
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,السجلات التجارية,2026/04/01,1447/10/13,441
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,الجهات الأمنية,2026/04/01,1447/10/13,418
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,الشركات والمؤسسات الأهلية,2026/04/01,1447/10/13,361
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,الأمانات والبلديات,2026/04/01,1447/10/13,283
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,وكالة خارج المملكة العربية السعودية فقط,2026/04/01,1447/10/13,277
منطقة الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,المطالبات والمحاكم,2026/04/01,1447/10/13,255
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,وزارة الموارد البشرية والتنمية الاجتماعية,2026/04/01,1447/10/13,245
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,إدارة الأحوال المدنية,2026/04/01,1447/10/13,232
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,طلب الخدمات,2026/04/01,1447/10/13,222
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,شركات الاتصالات,2026/04/01,1447/10/13,181
الخدمات الرقمية,كتابة عدل مدمجة - افتراضية,القطاع العام,خدمة إلكترونية جزئيا,المطالبات والمحاكم,2026/04/01,1447/10/13,169
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,الرواتب والمستحقات,2026/04/01,1447/10/13,166
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,الجهات التعليمية,2026/04/01,1447/10/13,156
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,المطالبات والمحاكم,2026/04/01,1447/10/13,151
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,الهيئات الحكومية,2026/04/01,1447/10/13,135
منطقة مكة المكرمه,جده,القطاع الخاص,خدمة إلكترونية جزئيا,المطالبات والمحاكم,2026/04/01,1447/10/13,129
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,الشركات,2026/04/01,1447/10/13,116
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,شبكة إيجار الإلكترونية,2026/04/01,1447/10/13,98
منطقة الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,العقارات,2026/04/01,1447/10/13,94
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,مكتب الإستقدام,2026/04/01,1447/10/13,88
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,شركة الكهرباء,2026/04/01,1447/10/13,73
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,تصديق الوكالات الخارجية,2026/04/01,1447/10/13,64
منطقة مكة المكرمه,مكة المكرمة,القطاع الخاص,خدمة إلكترونية جزئيا,المطالبات والمحاكم,2026/04/01,1447/10/13,61
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,إثباتات المحاكم,2026/04/01,1447/10/13,59
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,النكاح,2026/04/01,1447/10/13,58
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,المؤسسات الحكومية,2026/04/01,1447/10/13,56
منطقة مكة المكرمه,جده,القطاع الخاص,خدمة إلكترونية جزئيا,العقارات,2026/04/01,1447/10/13,55
الخدمات الرقمية,كتابة عدل مدمجة - افتراضية,القطاع العام,خدمة إلكترونية جزئيا,البنوك والمصارف,2026/04/01,1447/10/13,54
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,البنوك والمصارف,2026/04/01,1447/10/13,49
