السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار  ر.س,متوسط الايجار لكل متر مربع ر.س
2026,1,الباحة,حصن الحبس,حصن الحبس,شقة,سكني,2,9000,87.27
2026,1,الباحة,بلجرشي,الوادي,محل,تجاري,1,0,0
2026,1,الباحة,المندق,البدر,فيلا,سكني,2,112572.5,625.4
2026,1,الباحة,المخواة,الوسام,محل,تجاري,9,0,0
2026,1,الباحة,العباديه,العباديه,شقة,سكني,1,12000,150
2026,1,الباحة,العقيق,الطيبات,شقة,سكني,104,14809.84,90.87
2026,1,الباحة,حبس الاثنى,حبس الاثنى,شقة,سكني,5,13500,121.41
2026,1,الباحة,الباحة,الشفاء,شقة,سكني,3,16333.33,99.66
2026,1,الباحة,الفرع,الفرع,شقة,سكني,1,18000,60
2026,1,الباحة,الجبجبه,الجبجبه,دور,سكني,1,6000,20
2026,1,الباحة,الباحة,الفيصل,شقة,سكني,11,14200,94.6
2026,1,الباحة,المداهره,الياسمين,شقة,سكني,3,18000,117.08
2026,1,الباحة,المخواة,الوئام,شقة,سكني,27,10638.09,79.41
2026,1,الباحة,الذهب,الذهب,شقة,سكني,1,12000,114.28
2026,1,الباحة,ال نعمه,ال نعمه,محل,تجاري,1,0,0
2026,1,الباحة,الحدبان,الحدبان,شقة,سكني,1,11000,91.66
2026,1,الباحة,العقيق,النخيل,شقة,سكني,88,12080.34,112.33
2026,1,الباحة,الباحة,النزهة,محل,تجاري,24,0,0
2026,1,الباحة,المخواة,الإبتسام,شقة,سكني,4,11400,82.52
2026,1,الباحة,الحميدان,الميدان,محل,تجاري,9,0,0
2026,1,الباحة,الباحة,الروضة,شقة,سكني,18,17918.18,130.95
2026,1,الباحة,الباحة,البساتين,دور,سكني,4,19666.66,97.9
2026,1,الباحة,الباحة,البساتين,استديو,سكني,3,10333.33,168.05
2026,1,الباحة,العقيق,السلامة,شقة,سكني,47,15414.28,108.99
2026,1,الباحة,الوتيد بكرش,الوتيد بكرش,شقة,سكني,3,13333.33,103.33
2026,1,الباحة,المخواة,المنتزة,شقة,سكني,51,14697.5,102.9
2026,1,الباحة,قلوة,القلعة,محل,تجاري,3,0,0
2026,1,الباحة,ال نعمه,ال نعمه,شقة,سكني,3,17000,108.33
2026,1,الباحة,المخواة,العروبة,محل,تجاري,21,0,0
2026,1,الباحة,المساقه,المساقه,شقة,سكني,1,14500,145
2026,1,الباحة,بلجرشي,الناصرية,محل,تجاري,4,0,0
2026,1,الباحة,العقيق,النخيل,استديو,سكني,1,8000,228.57
2026,1,الباحة,القرن,القرن,شقة,سكني,1,6000,66.66
2026,1,الباحة,الباحة,الندى,محل,تجاري,8,0,0
2026,1,الباحة,بلجرشي,الفيصلية,شقة,سكني,17,13533.33,100.86
2026,1,الباحة,قلوة,السهول,شقة,سكني,56,13733.04,109.84
2026,1,الباحة,المخواة - القتيباء,القتيباء,شقة,سكني,1,12000,100.84
2026,1,الباحة,ابوالدحله,ابوالدحله,شقة,سكني,1,6000,30
2026,1,الباحة,المخواة,المنتزة,استديو,سكني,1,12000,120
2026,1,الباحة,الخرب,الخرب,شقة,سكني,1,18000,90
2026,1,الباحة,المخواة,العروبة,استديو,سكني,1,6000,100
2026,1,الباحة,الباحة,البساتين,شقة,سكني,94,17113.95,125.35
2026,1,الباحة,بلجرشي,الفيصلية,استديو,سكني,1,7200,240
2026,1,الباحة,بلجرشي,النور,شقة,سكني,11,13120,122.24
2026,1,الباحة,الباحة,الحجاز,مكتب,تجاري,2,0,0
2026,1,الباحة,العقيق,الطيبات,محل,تجاري,17,0,0
2026,1,الباحة,الثويمات,الكادي,شقة,سكني,2,14500,133.33
2026,1,الباحة,الجفدره,الجفدره,محل,تجاري,4,0,0
2026,1,الباحة,قلوة - الولجه,الولجه,استديو,سكني,1,12000,300
