السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار  ر.س,متوسط الايجار لكل متر مربع ر.س
2026,1,حائل,الشملى,التعاون,شقة,سكني,4,18000,90
2026,1,حائل,حائل,غرناطة,محل,تجاري,15,0,0
2026,1,حائل,تربة,الخزان,فيلا,سكني,1,8400,12
2026,1,حائل,حائل,أجا,شقة,سكني,164,16774.26,123.67
2026,1,حائل,حائل,الرصف,دور,سكني,10,16950,65.8
2026,1,حائل,ام زريبه,أم زريبة,شقة,سكني,2,18000,120
2026,1,حائل,حائل,العزيزية,مكتب,تجاري,3,0,0
2026,1,حائل,حائل,نقرة قفار,فيلا,سكني,11,22733.33,64.44
2026,1,حائل,حائل,المنتزة الشرقي,دوبلاكس,سكني,1,21000,52.5
2026,1,حائل,حائل,الزهراء,معرض تجاري,تجاري,9,0,0
2026,1,حائل,حائل,المجمع,استديو,سكني,105,6400,188.57
2026,1,حائل,بقعاء,بقعاء القديمة,معرض تجاري,تجاري,1,0,0
2026,1,حائل,بقعاء,مخطط صلاح الدين,شقة,سكني,7,9600,66.85
2026,1,حائل,حائل,المنتزة الغربي,شقة,سكني,115,15186.35,106.44
2026,1,حائل,بقعاء,حي ج16,دور,سكني,2,9000,50
2026,1,حائل,مراغان الجديد,مراغان,شقة,سكني,1,8400,75.67
2026,1,حائل,حائل,الزبارة,فيلا,سكني,8,34768.5,93.55
2026,1,حائل,قليب ذياب,قليب ذياب,دور,سكني,1,12000,60
2026,1,حائل,الحليفه السفلى,الحليفة السفلى,استديو,سكني,2,12000,240
2026,1,حائل,حائل,الخماشية,دور,سكني,2,19000,95.82
2026,1,حائل,حائل,سمره,محل,تجاري,1,0,0
2026,1,حائل,الشنان,النهضة,شقة,سكني,62,11447,84.01
2026,1,حائل,الحفير,الحفير,شقة,سكني,9,16375,95.02
2026,1,حائل,قسمه الرقب,قسمة الرقب,شقة,سكني,1,18000,211.76
2026,1,حائل,حائل,الياسمين,محل,تجاري,23,0,0
2026,1,حائل,حائل,مريفق,محل,تجاري,2,0,0
2026,1,حائل,جبة,الثاني,شقة,سكني,17,14906.66,96.14
2026,1,حائل,بدائع الرويضات,بدائع الرويضات,شقة,سكني,2,18000,150
2026,1,حائل,حائل,الملك عبدالله,فيلا,سكني,1,32000,59.25
2026,1,حائل,فيد,فيد,شقة,سكني,4,11500,93.3
2026,1,حائل,حائل,السويفلة الجديد,محل,تجاري,1,0,0
2026,1,حائل,بقعاء,حي ج12,دور,سكني,1,12000,48
2026,1,حائل,حائل,المنتزة الشرقي,محل,تجاري,62,0,0
2026,1,حائل,حائل,الخماشية,مكتب,تجاري,3,0,0
2026,1,حائل,القاعد,القاعد,معرض تجاري,تجاري,1,0,0
2026,1,حائل,بويب البدع,بويب البدع,شقة,سكني,1,18000,200
2026,1,حائل,القاعد,القاعد,محل,تجاري,7,0,0
2026,1,حائل,قصيباء,قصيباء,شقة,سكني,1,18000,120
2026,1,حائل,حائل,الخماشية,محل,تجاري,31,0,0
2026,1,حائل,حائل,المزعبر,دور,سكني,11,20900,113.83
2026,1,حائل,حائل,المطار,محل,تجاري,75,0,0
