السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار  ر.س,متوسط الايجار لكل متر مربع ر.س
2026,1,الحدود الشماليه,العويقيلة,الخليج,محل,تجاري,6,0,0
2026,1,الحدود الشماليه,العويقيلة,المنار,شقة,سكني,46,14598.5,100.38
2026,1,الحدود الشماليه,رفحاء,بادية الطويريق,شقة,سكني,1,14400,82.28
2026,1,الحدود الشماليه,طلعه التمياط,هجرة طلعة التمياط,شقة,سكني,3,11933.33,78.22
2026,1,الحدود الشماليه,عرعر,الناصرية,استديو,سكني,8,9450,114.41
2026,1,الحدود الشماليه,عرعر,ضاحية الملك فهد,محل,تجاري,31,0,0
2026,1,الحدود الشماليه,طريف,الخالدية,محل,تجاري,12,0,0
2026,1,الحدود الشماليه,عرعر,المطار,استديو,سكني,18,12800,293.56
2026,1,الحدود الشماليه,عرعر,المساعدية,محل,تجاري,51,0,0
2026,1,الحدود الشماليه,رفحاء,الورود,استديو,سكني,7,10650,224.25
2026,1,الحدود الشماليه,رفحاء,الورود,شقة,سكني,144,13271.18,92.38
2026,1,الحدود الشماليه,رفحاء,حي الضاحية,شقة,سكني,9,15300,118.5
2026,1,الحدود الشماليه,عرعر,النسيم,محل,تجاري,23,0,0
2026,1,الحدود الشماليه,طريف,اليرموك,شقة,سكني,27,13337.5,102.33
2026,1,الحدود الشماليه,عرعر,مشرف,شقة,سكني,49,15430.46,126.51
2026,1,الحدود الشماليه,طريف,العزيزية,محل,تجاري,22,0,0
2026,1,الحدود الشماليه,طريف,الصناعية الجديدة,محل,تجاري,1,0,0
2026,1,الحدود الشماليه,المركوز ويشمل,هجرة المركوز,شقة,سكني,4,15600,106.25
2026,1,الحدود الشماليه,رفحاء,بادية الطويريق,محل,تجاري,1,0,0
2026,1,الحدود الشماليه,طريف,الفيصلية شرق,محل,تجاري,14,0,0
2026,1,الحدود الشماليه,رفحاء,النموذجية,شقة,سكني,26,10885.71,58.93
2026,1,الحدود الشماليه,طريف,النهضة,شقة,سكني,2,16500,85
2026,1,الحدود الشماليه,رفحاء,الفيصلية,محل,تجاري,11,0,0
2026,1,الحدود الشماليه,عرعر,غرناطة الشرقي,شقة,سكني,4,16050,140.23
2026,1,الحدود الشماليه,طريف,النهضة,دور,سكني,2,30000,120
2026,1,الحدود الشماليه,طريف,العروبة,شقة,سكني,30,16362.5,118.8
2026,1,الحدود الشماليه,عرعر,الجوهرة,شقة,سكني,192,17427.55,151.09
2026,1,الحدود الشماليه,عرعر,الصقار,محل,تجاري,1,0,0
2026,1,الحدود الشماليه,طلعه التمياط,حي المنطقه السكنية نموذجية طلعة التمياط,شقة,سكني,14,13380,83.64
2026,1,الحدود الشماليه,العويقيلة,الأندلس,شقة,سكني,35,15721.87,119.35
2026,1,الحدود الشماليه,عرعر,المنصورية,استديو,سكني,1,7200,144
2026,1,الحدود الشماليه,عرعر,الشامل,شقة,سكني,2,24000,175
2026,1,الحدود الشماليه,رفحاء,التعاون,محل,تجاري,3,0,0
2026,1,الحدود الشماليه,شعبة نصاب,حي ج/3د,شقة,سكني,25,19557.89,129.68
2026,1,الحدود الشماليه,رفحاء,الملز,شقة,سكني,141,12215.92,92.84
2026,1,الحدود الشماليه,طريف,مخطط الإسكان1,فيلا,سكني,3,10000,37.5
2026,1,الحدود الشماليه,رغوه الجديده,رغوة,شقة,سكني,4,11850,81.5
2026,1,الحدود الشماليه,عرعر,الصالحية,محل,تجاري,51,0,0
2026,1,الحدود الشماليه,نصاب,نصاب,شقة,سكني,2,6600,53.73
2026,1,الحدود الشماليه,طريف,المساعدية,استديو,سكني,3,22166.66,434.1
2026,1,الحدود الشماليه,طريف,الفيصلية شرق,شقة,سكني,47,16054.54,132.16
2026,1,الحدود الشماليه,عرعر,بدنة,دور,سكني,3,22000,121.69
2026,1,الحدود الشماليه,الخشيبي,مخطط هجرة الخشيبي,شقة,سكني,4,12750,102.02
2026,1,الحدود الشماليه,رفحاء,القادسية,دور,سكني,3,21200,134.03
2026,1,الحدود الشماليه,رفحاء,اليرموك,محل,تجاري,14,0,0
2026,1,الحدود الشماليه,العويقيلة,مخطط المنطقة الصناعية بمدينة العويقيلة,شقة,سكني,1,12000,120
2026,1,الحدود الشماليه,عرعر,الروابي,دور,سكني,8,16800,54.05
2026,1,الحدود الشماليه,عرعر,المروج الشرقي,شقة,سكني,106,15661.66,130.42
2026,1,الحدود الشماليه,عرعر,ضاحية الملك فهد,فيلا,سكني,1,33600,84
2026,1,الحدود الشماليه,الدويد,الدويد,شقة,سكني,1,18000,90
2026,1,الحدود الشماليه,طريف,العزيزية,دور,سكني,3,49400,137.22
2026,1,الحدود الشماليه,عرعر,مشرف,مكتب,تجاري,1,0,0
2026,1,الحدود الشماليه,رفحاء,الملز,دور,سكني,3,13800,81.24
2026,1,الحدود الشماليه,طريف,الربوة,شقة,سكني,3,22000,115.78
2026,1,الحدود الشماليه,رفحاء,اليرموك,دور,سكني,1,12000,66.66
2026,1,الحدود الشماليه,رفحاء,الاداري,محل,تجاري,17,0,0
2026,1,الحدود الشماليه,طريف,الورود,دور,سكني,1,15600,104
2026,1,الحدود الشماليه,طريف,الخليج,استديو,سكني,2,9600,157.71
2026,1,الحدود الشماليه,رفحاء,الفيصلية,دور,سكني,3,14400,72.52
2026,1,الحدود الشماليه,العويقيلة,مخطط  شرق مدينة العويقيلة,شقة,سكني,8,13942.85,95.87
2026,1,الحدود الشماليه,عرعر,القدس الغربي,فيلا,سكني,1,30000,75
2026,1,الحدود الشماليه,رفحاء,العمال,شقة,سكني,13,10020,55.49
2026,1,الحدود الشماليه,عرعر,الجوهرة,محل,تجاري,28,0,0
2026,1,الحدود الشماليه,روضة هباس,مخطط روضة هباس ,شقة,سكني,17,16693.33,96.49
2026,1,الحدود الشماليه,عرعر,ضاحية الملك فهد,شقة,سكني,280,15878.18,136.66
2026,1,الحدود الشماليه,روضة هباس,مخطط استثماري الاستراحات,شقة,سكني,1,18000,90
2026,1,الحدود الشماليه,عرعر,المروج الشرقي,دور,سكني,8,18000,99.15
2026,1,الحدود الشماليه,عرعر,الأمانة الاداري,محل,تجاري,2,0,0
2026,1,الحدود الشماليه,رفحاء,الجميماء,استديو,سكني,3,9000,93.75
2026,1,الحدود الشماليه,عرعر,القدس الشرقي,دور,سكني,1,24000,68.57
2026,1,الحدود الشماليه,طريف,الفيصلية غرب,استديو,سكني,5,21000,304.92
2026,1,الحدود الشماليه,عرعر,الجوهرة,مكتب,تجاري,2,0,0
2026,1,الحدود الشماليه,العويقيلة,النسيم,شقة,سكني,21,15557.89,98.34
2026,1,الحدود الشماليه,عرعر,المساعدية,استديو,سكني,3,10800,262.66
2026,1,الحدود الشماليه,رفحاء,حي مخطط المستودعات,شقة,سكني,4,10200,74.25
2026,1,الحدود الشماليه,عرعر,الحرس الوطني,دور,سكني,2,16500,113.71
2026,1,الحدود الشماليه,عرعر,القدس الشرقي,فيلا,سكني,1,9600,38.4
2026,1,الحدود الشماليه,طريف,الخالدية,دور,سكني,3,11700,83.07
2026,1,الحدود الشماليه,عرعر,الحرس الوطني,محل,تجاري,9,0,0
2026,1,الحدود الشماليه,طريف,الصناعية القديمة,محل,تجاري,7,0,0
2026,1,الحدود الشماليه,عرعر,المنصورية,محل,تجاري,43,0,0
2026,1,الحدود الشماليه,رفحاء,المساعدية,شقة,سكني,37,11600,92.45
2026,1,الحدود الشماليه,طريف,الروابي,شقة,سكني,29,15166.66,105.23
2026,1,الحدود الشماليه,عرعر,النخيل الجنوبي,استديو,سكني,3,9600,163.33
2026,1,الحدود الشماليه,طريف,الورود,استديو,سكني,37,16292.3,271.35
2026,1,الحدود الشماليه,عرعر,الصقار,شقة,سكني,2,9000,49.19
2026,1,الحدود الشماليه,العويقيلة,ادارة التعليم,شقة,سكني,3,13200,82
2026,1,الحدود الشماليه,عرعر,المروج الغربي,معرض تجاري,تجاري,1,0,0
2026,1,الحدود الشماليه,عرعر,إشبيلية الشمالي,محل,تجاري,5,0,0
2026,1,الحدود الشماليه,طريف,المساعدية,محل,تجاري,3,0,0
2026,1,الحدود الشماليه,طريف,الصالحية,شقة,سكني,86,14436.7,108.41
2026,1,الحدود الشماليه,رفحاء,القادسية,شقة,سكني,49,11177.14,76.45
2026,1,الحدود الشماليه,رفحاء,المحمدية,استديو,سكني,1,10800,120
2026,1,الحدود الشماليه,طريف,الفيصلية شرق,دور,سكني,2,17700,67.28
2026,1,الحدود الشماليه,حزم الجلاميد,مخطط مركز حزم الجلاميد,شقة,سكني,3,24000,262.5
2026,1,الحدود الشماليه,رفحاء,سلاح الحدود,دور,سكني,1,19200,76.8
2026,1,الحدود الشماليه,العويقيلة,الخليج,استديو,سكني,1,5000,50
2026,1,الحدود الشماليه,عرعر,الخالدية,مكتب,تجاري,2,0,0
2026,1,الحدود الشماليه,رفحاء,الملز,فيلا,سكني,2,33300,88.71
2026,1,الحدود الشماليه,عرعر,النخيل الشمالي,شقة,سكني,4,13300,84.85
2026,1,الحدود الشماليه,عرعر,الناصرية,دور,سكني,22,16540,77.76
2026,1,الحدود الشماليه,عرعر,محجوزات ارمكو,شقة,سكني,3,14000,117.77
2026,1,الحدود الشماليه,عرعر,مشرف,محل,تجاري,3,0,0
2026,1,الحدود الشماليه,طريف,الصالحية,استديو,سكني,2,11400,258
2026,1,الحدود الشماليه,طريف,المساعدية,معرض تجاري,تجاري,1,0,0
2026,1,الحدود الشماليه,عرعر,الفيصلية,دور,سكني,9,13875,63.31
2026,1,الحدود الشماليه,عرعر,الروابي,محل,تجاري,14,0,0
