السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار  ر.س,متوسط الايجار لكل متر مربع ر.س
2026,1,مكة المكرمة,مكة المكرمة,العوالي,مكتب,تجاري,123,0,0
2026,1,مكة المكرمة,الخرمة,حي الإسكان,فيلا,سكني,1,14000,63.63
2026,1,مكة المكرمة,النجيعات,النجيعات,محل,تجاري,2,0,0
2026,1,مكة المكرمة,جدة,الزهراء,دور,سكني,12,106720,735.75
2026,1,مكة المكرمة,المويه - مران,مران,دور,سكني,1,18000,90
2026,1,مكة المكرمة,الحلاه,الحلاه,محل,تجاري,1,0,0
2026,1,مكة المكرمة,الطائف,مثملة,محل,تجاري,49,0,0
2026,1,مكة المكرمة,ام الضيمران,ام الضيمران,شقة,سكني,2,18000,120
2026,1,مكة المكرمة,الحثرور,الحثرور,دور,سكني,1,6000,33.33
2026,1,مكة المكرمة,جدة,المسرة,شقة,سكني,3,23000,226.95
2026,1,مكة المكرمة,مكة المكرمة,الفرقان,استديو,سكني,1,6000,150
2026,1,مكة المكرمة,الطائف,حوايا الشمالية,دور,سكني,2,17500,107.23
2026,1,مكة المكرمة,جدة,الخمرة,شقة,سكني,260,20547.77,164.19
2026,1,مكة المكرمة,العرضيات,العرضيات,شقة,سكني,5,14640,90.23
2026,1,مكة المكرمة,الدعارمه,الدعارمه,شقة,سكني,1,18000,180
2026,1,مكة المكرمة,جدة,الشراع,شقة,سكني,513,24277.09,228.05
2026,1,مكة المكرمة,الطائف,الدهماء,شقة,سكني,4,14750,68.33
2026,1,مكة المكرمة,رنية,النزهة,محل,تجاري,12,0,0
2026,1,مكة المكرمة,القنفذة - القوز,الجرد,محل,تجاري,6,0,0
2026,1,مكة المكرمة,ثلاثاء الخرم,ثلاثاء الخرم,محل,تجاري,5,0,0
2026,1,مكة المكرمة,الطائف,الحوية,استديو,سكني,1,5400,216
2026,1,مكة المكرمة,المقيرى وام على,المقيرى وام على,شقة,سكني,3,16000,137.55
2026,1,مكة المكرمة,جدة,المحاميد,دور,سكني,22,18200,93.59
2026,1,مكة المكرمة,الطائف,السناح,فيلا,سكني,1,28000,93.33
2026,1,مكة المكرمة,جدة,بترومين,استديو,سكني,1,8400,280
2026,1,مكة المكرمة,الطائف,الحلقة الغربية,استديو,سكني,2,8000,358.33
2026,1,مكة المكرمة,النغر,النغر,شقة,سكني,1,12000,100
2026,1,مكة المكرمة,المويه - الحفيره,الحفيره,شقة,سكني,1,18000,100
2026,1,مكة المكرمة,القنفذة - الشعب,الشعب,شقة,سكني,10,12800,115
2026,1,مكة المكرمة,الطائف,عكرمة,شقة,سكني,114,17730.43,117.22
2026,1,مكة المكرمة,مكة المكرمة,الرصيفة,دور,سكني,11,27250,134.46
2026,1,مكة المكرمة,مكة المكرمة,الملك فهد,محل,تجاري,119,0,0
2026,1,مكة المكرمة,الرويليه (الصهلوج),الرويليه (الصهلوج),شقة,سكني,4,17666.66,137.04
2026,1,مكة المكرمة,الطائف,القطبية الشرقية,معرض تجاري,تجاري,2,0,0
