المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/01/04,"34,295,121"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/01/05,"34,332,986"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/01/05,"34,333,099"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/02/02,"34,906,254"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/02/02,"34,914,526"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/02/11,"35,109,514"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/02/12,"35,128,968"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/02/16,"35,199,134"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/02/26,"35,424,967"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/03/04,"35,541,742"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2026/03/12,"35,688,935"
,,,,,
