المنطقة,المدينة,السنة,ربع السنة,عدد الملاك الرجال,نسبة تملك الرجال
منطقة الباحة,الباحه,2026,الربع الأول,34,85.00%
منطقة الباحة,الحجره,2026,الربع الأول,2,66.67%
منطقة الباحة,العقيق,2026,الربع الأول,36,92.31%
منطقة الباحة,القرى,2026,الربع الأول,2,100.00%
منطقة الباحة,المخواة,2026,الربع الأول,40,86.96%
منطقة الباحة,المندق,2026,الربع الأول,2,100.00%
منطقة الباحة,بلجرشي,2026,الربع الأول,27,81.82%
منطقة الباحة,قلوه,2026,الربع الأول,5,71.43%
منطقة الجوف,القريات,2026,الربع الأول,124,76.07%
منطقة الجوف,دومة الجندل,2026,الربع الأول,101,83.47%
منطقة الجوف,سكاكا,2026,الربع الأول,166,73.13%
منطقة الجوف,طبرجل,2026,الربع الأول,93,88.57%
منطقة الحدود الشمالية,العويقيله,2026,الربع الأول,22,78.57%
منطقة الحدود الشمالية,رفحاء,2026,الربع الأول,59,76.62%
منطقة الحدود الشمالية,طريف,2026,الربع الأول,21,77.78%
منطقة الحدود الشمالية,عرعر,2026,الربع الأول,263,75.36%
منطقة الحدود الشمالية,لينه,2026,الربع الأول,4,100.00%
منطقة الرياض,الارطاوي,2026,الربع الأول,22,81.48%
منطقة الرياض,الارطاويه,2026,الربع الأول,20,76.92%
منطقة الرياض,الافلاج,2026,الربع الأول,53,81.54%
منطقة الرياض,الحريق,2026,الربع الأول,21,87.50%
منطقة الرياض,الخرج,2026,الربع الأول,587,84.46%
منطقة الرياض,الدرعيه,2026,الربع الأول,38,65.52%
منطقة الرياض,الدلم,2026,الربع الأول,51,83.61%
منطقة الرياض,الدوادمي,2026,الربع الأول,114,79.17%
منطقة الرياض,الرياض,2026,الربع الأول,"1,893",74.91%
منطقة الرياض,الرين,2026,الربع الأول,7,77.78%
منطقة الرياض,الزلفي,2026,الربع الأول,166,82.18%
منطقة الرياض,السليل,2026,الربع الأول,25,78.13%
منطقة الرياض,الغاط,2026,الربع الأول,21,67.74%
منطقة الرياض,القصب,2026,الربع الأول,9,81.82%
منطقة الرياض,القويعيه,2026,الربع الأول,48,90.57%
منطقة الرياض,المجمعه,2026,الربع الأول,146,82.95%
منطقة الرياض,المزاحميه,2026,الربع الأول,132,80.00%
منطقة الرياض,ثادق,2026,الربع الأول,42,79.25%
منطقة الرياض,جلاجل,2026,الربع الأول,7,87.50%
منطقة الرياض,حريملاء,2026,الربع الأول,35,81.40%
منطقة الرياض,حوطة بني تميم,2026,الربع الأول,48,70.59%
منطقة الرياض,رماح,2026,الربع الأول,60,77.92%
منطقة الرياض,شقراء,2026,الربع الأول,91,75.21%
منطقة الرياض,ضرماء,2026,الربع الأول,86,81.90%
منطقة الرياض,عرقه,2026,الربع الأول,4,100.00%
منطقة الرياض,عفيف,2026,الربع الأول,130,82.28%
منطقة الرياض,مرات,2026,الربع الأول,36,75.00%
منطقة الرياض,وادي الدواسر,2026,الربع الأول,39,63.93%
منطقة الشرقية,ابقيق,2026,الربع الأول,95,74.22%
منطقة الشرقية,الاحساء,2026,الربع الأول,78,72.90%
منطقة الشرقية,الجبيل,2026,الربع الأول,236,84.29%
منطقة الشرقية,الجفر,2026,الربع الأول,176,75.86%
منطقة الشرقية,الخبر,2026,الربع الأول,577,73.50%
منطقة الشرقية,الخفجي,2026,الربع الأول,201,78.82%
منطقة الشرقية,الدمام,2026,الربع الأول,821,79.71%
منطقة الشرقية,الظهران,2026,الربع الأول,76,77.55%
منطقة الشرقية,العيون,2026,الربع الأول,25,56.82%
منطقة الشرقية,القطيف,2026,الربع الأول,127,77.91%
منطقة الشرقية,النعيريه,2026,الربع الأول,104,81.89%
منطقة الشرقية,الهفوف,2026,الربع الأول,499,76.53%
منطقة الشرقية,حفر الباطن,2026,الربع الأول,587,80.41%
منطقة الشرقية,رأس تنوره,2026,الربع الأول,12,80.00%
منطقة الشرقية,قرية العليا,2026,الربع الأول,60,78.95%
منطقة القصيم,الاسياح,2026,الربع الأول,36,85.71%
منطقة القصيم,البدائع,2026,الربع الأول,273,87.22%
منطقة القصيم,البكيريه,2026,الربع الأول,107,79.26%
منطقة القصيم,الخبراء,2026,الربع الأول,18,75.00%
منطقة القصيم,الرس,2026,الربع الأول,75,75.00%
منطقة القصيم,الشماسيه,2026,الربع الأول,29,67.44%
منطقة القصيم,القواره,2026,الربع الأول,1,100.00%
منطقة القصيم,المذنب,2026,الربع الأول,198,80.82%
منطقة القصيم,النبهانيه,2026,الربع الأول,25,86.21%
منطقة القصيم,بريده,2026,الربع الأول,733,76.12%
منطقة القصيم,رياض الخبراء,2026,الربع الأول,94,72.87%
منطقة القصيم,ضريه,2026,الربع الأول,17,85.00%
منطقة القصيم,عقلة الصقور,2026,الربع الأول,32,84.21%
منطقة القصيم,عنيزه,2026,الربع الأول,105,75.54%
منطقة القصيم,عيون الجوى,2026,الربع الأول,41,75.93%
منطقة القصيم,قبه,2026,الربع الأول,6,85.71%
منطقة المدينة المنوره,الحناكية,2026,الربع الأول,55,72.37%
منطقة المدينة المنوره,العلا,2026,الربع الأول,79,78.22%
منطقة المدينة المنوره,المدينة المنورة,2026,الربع الأول,"1,135",70.11%
منطقة المدينة المنوره,المهد,2026,الربع الأول,77,93.90%
منطقة المدينة المنوره,وادي الفرع,2026,الربع الأول,47,70.15%
منطقة المدينة المنوره,ينبع,2026,الربع الأول,17,65.38%
منطقة تبوك,الوجه,2026,الربع الأول,1,100.00%
منطقة تبوك,تبوك,2026,الربع الأول,476,78.16%
منطقة تبوك,تيماء,2026,الربع الأول,54,68.35%
منطقة تبوك,حقل,2026,الربع الأول,8,88.89%
منطقة تبوك,ضباء,2026,الربع الأول,14,70.00%
منطقة جازان,ابو عريش,2026,الربع الأول,106,84.13%
منطقة جازان,احد المسارحه,2026,الربع الأول,26,81.25%
منطقة جازان,الدائر,2026,الربع الأول,1,100.00%
منطقة جازان,الدرب,2026,الربع الأول,3,100.00%
منطقة جازان,الشقيق,2026,الربع الأول,6,75.00%
منطقة جازان,العارضه,2026,الربع الأول,4,100.00%
منطقة جازان,العيدابي,2026,الربع الأول,8,100.00%
منطقة جازان,بيش,2026,الربع الأول,155,87.57%
منطقة جازان,جيزان,2026,الربع الأول,233,76.14%
منطقة جازان,صامطه,2026,الربع الأول,23,88.46%
منطقة جازان,صبياء,2026,الربع الأول,103,85.83%
منطقة جازان,ضمد,2026,الربع الأول,33,84.62%
منطقة جازان,فرسان,2026,الربع الأول,3,50.00%
منطقة جازان,فيفا,2026,الربع الأول,1,100.00%
منطقة جازان,هروب,2026,الربع الأول,1,100.00%
