المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي للوكالة
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/02,"44,447,110"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/04,"44,462,168"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/04,"44,462,162"
منطقة مكة المكرمه,جده,القطاع الخاص,خدمة إلكترونية جزئيا,2026/04/05,"44,469,595"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/09,"44,556,052"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/09,"44,563,842"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/09,"44,554,552"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/11,"44,581,795"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/14,"44,644,328"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/14,"44,643,737"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/16,"44,682,975"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/16,"44,687,462"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/16,"44,688,982"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/16,"44,686,833"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/16,"44,683,749"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/16,"44,688,991"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/16,"44,684,762"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/17,"44,694,008"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/21,"44,766,744"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/21,"44,765,508"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/22,"44,792,542"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/22,"44,795,534"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/27,"44,858,868"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/30,"44,934,115"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/05/02,"44,949,661"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/05/04,"44,994,938"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/05/04,"44,998,453"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/05/04,"44,987,368"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/05/05,"45,018,047"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/05/05,"45,016,162"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/05/05,"45,000,529"
منطقة الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2026/05/06,"45,030,113"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/05/06,"45,027,114"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/05/07,"45,048,101"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/05/07,"45,047,032"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/05/08,"45,058,574"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/05/08,"45,057,735"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/05/10,"45,080,938"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/05/11,"45,118,153"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/05/11,"45,110,449"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/05/12,"45,129,711"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/05/14,"45,178,292"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/05/17,"45,198,265"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/05/18,"45,229,432"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/05/18,"45,227,579"
منطقة مكة المكرمه,جده,القطاع العام,خدمة إلكترونية جزئيا,2026/05/20,"45,266,657"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/05/21,"45,281,855"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/06/01,"45,333,017"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/06/01,"45,332,937"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/06/02,"45,345,615"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/06/02,"45,355,455"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/06/02,"45,351,886"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/06/02,"45,354,656"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/06/02,"45,349,780"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/06/03,"45,375,541"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/06/04,"45,389,322"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/06/04,"45,377,731"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/06/10,"45,475,849"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/06/14,"45,535,354"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/06/14,"45,544,084"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/06/15,"45,554,096"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/06/16,"45,578,637"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/06/18,"45,619,935"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/06/21,"45,667,492"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/06/21,"45,661,626"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/06/21,"45,660,014"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/06/23,"45,713,638"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/06/23,"45,709,088"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/06/25,"45,744,024"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/06/27,"45,757,883"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/06/29,"45,810,349"
