المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي للوكالة
الخدمات الرقمية,كتابة عدل مدمجة - افتراضية,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"44,422,864"
الخدمات الرقمية,كتابة عدل مدمجة - افتراضية,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"44,415,550"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,414,110"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,414,212"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,414,213"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,417,478"
الخدمات الرقمية,كتابة عدل مدمجة - افتراضية,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"44,417,196"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,417,418"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,417,476"
الخدمات الرقمية,كتابة عدل مدمجة - افتراضية,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"44,417,742"
الخدمات الرقمية,كتابة عدل مدمجة - افتراضية,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"44,417,830"
منطقة الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2026/04/01,"44,417,680"
منطقة الشرقية,الدمام,القطاع الخاص,خدمة إلكترونية جزئيا,2026/04/01,"44,417,113"
الخدمات الرقمية,كتابة عدل مدمجة - افتراضية,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"44,418,323"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,418,713"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,418,931"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,419,044"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,419,892"
منطقة عسير,ابها,القطاع الخاص,خدمة إلكترونية جزئيا,2026/04/01,"44,419,777"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,420,347"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,420,979"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,420,591"
منطقة مكة المكرمه,جده,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"44,420,820"
الخدمات الرقمية,كتابة عدل مدمجة - افتراضية,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"44,421,050"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,421,297"
الخدمات الرقمية,كتابة عدل مدمجة - افتراضية,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"44,415,974"
الخدمات الرقمية,كتابة عدل مدمجة - افتراضية,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"44,421,659"
الخدمات الرقمية,كتابة عدل مدمجة - افتراضية,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"44,422,137"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,422,194"
منطقة الشرقية,الدمام,القطاع الخاص,خدمة إلكترونية جزئيا,2026/04/01,"44,422,516"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,422,574"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,422,672"
منطقة الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2026/04/01,"44,422,523"
الخدمات الرقمية,كتابة عدل مدمجة - افتراضية,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"44,422,740"
منطقة مكة المكرمه,الطائف,القطاع الخاص,خدمة إلكترونية جزئيا,2026/04/01,"44,422,686"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,423,018"
الخدمات الرقمية,كتابة عدل مدمجة - افتراضية,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"44,416,889"
منطقة الشرقية,الدمام,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"44,423,791"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,423,925"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,422,951"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,423,023"
منطقة مكة المكرمه,مكة المكرمة,القطاع الخاص,خدمة إلكترونية جزئيا,2026/04/01,"44,422,745"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,423,135"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,423,149"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,423,331"
منطقة الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2026/04/01,"44,423,635"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,423,798"
منطقة مكة المكرمه,مكة المكرمة,القطاع الخاص,خدمة إلكترونية جزئيا,2026/04/01,"44,423,538"
منطقة الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2026/04/01,"44,424,034"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,424,568"
منطقة مكة المكرمه,مكة المكرمة,القطاع الخاص,خدمة إلكترونية جزئيا,2026/04/01,"44,424,472"
منطقة مكة المكرمه,الطائف,القطاع الخاص,خدمة إلكترونية جزئيا,2026/04/01,"44,424,534"
منطقة مكة المكرمه,مكة المكرمة,القطاع الخاص,خدمة إلكترونية جزئيا,2026/04/01,"44,424,717"
الخدمات الرقمية,كتابة عدل مدمجة - افتراضية,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"44,426,443"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,425,444"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,425,555"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,425,579"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,425,597"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,425,643"
منطقة الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2026/04/01,"44,425,584"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,425,741"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,425,759"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,426,951"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,427,507"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,426,445"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,426,622"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,426,672"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,427,223"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,427,298"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,427,325"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,427,353"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,427,368"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,427,459"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,428,546"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,427,737"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,427,857"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/04/01,"44,427,887"
