المنطقة,المدينة,نوع السند الرئيسي,تاريخ القرار ميلادي,الرقم المرجعي
 الرياض,الرياض,قسمة تركة,2026/04/01,"18,213,596"
 الرياض,الرياض,قسمة تركة,2026/04/01,"18,213,600"
 الرياض,الرياض,قسمة تركة,2026/04/01,"18,213,589"
 الرياض,الرياض,قسمة تركة,2026/04/01,"18,213,592"
 مكة المكرمه,جده,قسمة تركة,2026/04/01,"18,214,861"
 مكة المكرمه,جده,قسمة تركة,2026/04/01,"18,214,859"
 مكة المكرمه,جده,قسمة تركة,2026/04/01,"18,214,860"
 المدينة المنوره,المدينة المنورة,قسمة تركة,2026/04/01,"18,214,806"
 المدينة المنوره,المدينة المنورة,قسمة تركة,2026/04/01,"18,214,808"
 المدينة المنوره,المدينة المنورة,عقود,2026/04/01,"18,214,809"
 المدينة المنوره,المدينة المنورة,قسمة تركة,2026/04/01,"18,214,811"
 المدينة المنوره,المدينة المنورة,مزاد,2026/04/01,"18,214,863"
 المدينة المنوره,المدينة المنورة,مزاد,2026/04/01,"18,214,807"
 المدينة المنوره,المدينة المنورة,مزاد,2026/04/01,"18,213,604"
 المدينة المنوره,المدينة المنورة,مزاد,2026/04/01,"18,213,593"
 المدينة المنوره,المدينة المنورة,مزاد,2026/04/01,"18,214,810"
 القصيم,بريده,قسمة تركة,2026/04/01,"18,213,597"
 الشرقية,الدمام,مزاد,2026/04/01,"18,213,595"
 الشرقية,الدمام,احكام و قرارات,2026/04/01,"18,214,812"
 الشرقية,الدمام,أوراق تجارية,2026/04/01,"18,213,590"
 الشرقية,الاحساء,قسمة تركة,2026/04/01,"18,213,601"
 الشرقية,الاحساء,قسمة تركة,2026/04/01,"18,213,599"
 الشرقية,الاحساء,أوراق تجارية,2026/04/01,"18,213,586"
 الشرقية,الاحساء,قسمة تركة,2026/04/01,"18,213,603"
 عسير,ابها,قسمة تركة,2026/04/01,"18,214,862"
 حائل,حائل,قسمة تركة,2026/04/01,"18,213,587"
 حائل,حائل,قسمة تركة,2026/04/01,"18,213,598"
 حائل,حائل,قسمة تركة,2026/04/01,"18,213,588"
 حائل,حائل,قسمة تركة,2026/04/01,"18,213,594"
 جازان,جيزان,أوراق تجارية,2026/04/01,"18,213,591"
 الرياض,الرياض,قسمة تركة,2026/04/02,"18,223,511"
 المدينة المنوره,المدينة المنورة,مزاد,2026/04/02,"18,222,959"
 عسير,ابها,عقود,2026/04/02,"18,222,956"
 عسير,ابها,عقود,2026/04/02,"18,222,961"
 تبوك,تبوك,قسمة تركة,2026/04/02,"18,222,963"
 تبوك,تبوك,قسمة تركة,2026/04/02,"18,223,509"
 تبوك,تبوك,قسمة تركة,2026/04/02,"18,223,510"
 تبوك,تبوك,قسمة تركة,2026/04/02,"18,222,958"
 جازان,جيزان,أوراق تجارية,2026/04/02,"18,221,785"
 نجران,نجران,قسمة تركة,2026/04/02,"18,222,957"
 نجران,نجران,قسمة تركة,2026/04/02,"18,222,960"
 الرياض,الرياض,قسمة تركة,2026/04/05,"18,251,531"
 الرياض,الرياض,قسمة تركة,2026/04/05,"18,251,535"
 الرياض,الرياض,مزاد,2026/04/05,"18,251,533"
 الرياض,الرياض,قسمة تركة,2026/04/05,"18,251,534"
 الرياض,الرياض,قسمة تركة,2026/04/05,"18,251,536"
