المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي
 الجوف,سكاكا,القطاع العام,خدمة إلكترونية جزئيا,2026/04/01,"35,980,309"
 المدينة المنوره,العلا,القطاع العام,خدمة إلكترونية جزئيا,2026/04/02,"35,993,455"
 المدينة المنوره,العلا,القطاع العام,خدمة إلكترونية جزئيا,2026/04/05,"36,040,015"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/04/05,"36,037,455"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/04/05,"36,037,548"
 المدينة المنوره,العلا,القطاع العام,خدمة إلكترونية جزئيا,2026/04/06,"36,069,811"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/04/07,"36,101,391"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/04/07,"36,101,895"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/04/07,"36,101,085"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/04/07,"36,101,518"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/04/07,"36,101,785"
 المدينة المنوره,العلا,القطاع العام,خدمة إلكترونية جزئيا,2026/04/08,"36,124,335"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/04/09,"36,145,210"
 نجران,نجران,القطاع العام,خدمة إلكترونية جزئيا,2026/04/13,"36,211,650"
 جازان,جيزان,القطاع العام,خدمة إلكترونية جزئيا,2026/04/13,"36,215,591"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/04/15,"36,271,620"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/04/15,"36,271,965"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/04/15,"36,271,846"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/04/19,"36,349,006"
 مكة المكرمه,جده,القطاع العام,خدمة إلكترونية جزئيا,2026/04/19,"36,344,899"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/04/20,"36,369,556"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/04/20,"36,369,667"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/04/20,"36,369,043"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/04/20,"36,369,450"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/04/20,"36,369,170"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/04/20,"36,368,973"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/04/20,"36,369,938"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/04/20,"36,369,372"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/04/20,"36,369,100"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/04/20,"36,369,264"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/04/20,"36,370,517"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/04/20,"36,369,760"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/04/20,"36,370,600"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/04/20,"36,369,738"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/04/20,"36,369,885"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/04/20,"36,369,628"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/04/21,"36,391,350"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/04/21,"36,393,306"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/04/21,"36,391,045"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2026/04/21,"36,391,632"
