المنطقة,المدينة,السنة,ربع السنة,عدد الملاك النساء,نسبة تملك النساء
منطقة الباحة,الباحه,2026,الربع الثاني,11,18.33%
منطقة الباحة,العقيق,2026,الربع الثاني,7,25.00%
منطقة الباحة,القرى,2026,الربع الثاني,1,33.33%
منطقة الباحة,المخواة,2026,الربع الثاني,3,13.04%
منطقة الباحة,بلجرشي,2026,الربع الثاني,5,13.51%
منطقة الباحة,قلوه,2026,الربع الثاني,2,16.67%
منطقة الجوف,القريات,2026,الربع الثاني,37,29.84%
منطقة الجوف,دومة الجندل,2026,الربع الثاني,14,22.58%
منطقة الجوف,سكاكا,2026,الربع الثاني,26,18.18%
منطقة الجوف,طبرجل,2026,الربع الثاني,14,21.54%
منطقة الحدود الشمالية,العويقيله,2026,الربع الثاني,7,24.14%
منطقة الحدود الشمالية,رفحاء,2026,الربع الثاني,26,31.33%
منطقة الحدود الشمالية,طريف,2026,الربع الثاني,6,23.08%
منطقة الحدود الشمالية,عرعر,2026,الربع الثاني,46,16.79%
منطقة الرياض,الارطاوي,2026,الربع الثاني,4,17.39%
منطقة الرياض,الارطاويه,2026,الربع الثاني,4,20.00%
منطقة الرياض,الافلاج,2026,الربع الثاني,9,18.75%
منطقة الرياض,الحريق,2026,الربع الثاني,2,8.33%
منطقة الرياض,الخرج,2026,الربع الثاني,113,23.54%
منطقة الرياض,الدرعيه,2026,الربع الثاني,9,18.37%
منطقة الرياض,الدلم,2026,الربع الثاني,9,14.75%
منطقة الرياض,الدوادمي,2026,الربع الثاني,31,18.02%
منطقة الرياض,الرياض,2026,الربع الثاني,398,27.35%
منطقة الرياض,الرين,2026,الربع الثاني,1,9.09%
منطقة الرياض,الزلفي,2026,الربع الثاني,38,20.77%
منطقة الرياض,السليل,2026,الربع الثاني,6,18.18%
منطقة الرياض,الغاط,2026,الربع الثاني,8,26.67%
منطقة الرياض,القصب,2026,الربع الثاني,3,33.33%
منطقة الرياض,القويعيه,2026,الربع الثاني,12,22.64%
منطقة الرياض,المجمعه,2026,الربع الثاني,35,33.65%
منطقة الرياض,المزاحميه,2026,الربع الثاني,21,16.54%
منطقة الرياض,ثادق,2026,الربع الثاني,7,16.28%
منطقة الرياض,جلاجل,2026,الربع الثاني,1,9.09%
منطقة الرياض,حريملاء,2026,الربع الثاني,5,10.00%
منطقة الرياض,حوطة بني تميم,2026,الربع الثاني,14,26.42%
منطقة الرياض,رماح,2026,الربع الثاني,12,20.00%
منطقة الرياض,شقراء,2026,الربع الثاني,42,28.19%
منطقة الرياض,ضرماء,2026,الربع الثاني,8,10.96%
منطقة الرياض,عفيف,2026,الربع الثاني,26,13.90%
منطقة الرياض,مرات,2026,الربع الثاني,8,26.67%
منطقة الرياض,وادي الدواسر,2026,الربع الثاني,6,13.95%
منطقة الشرقية,ابقيق,2026,الربع الثاني,10,10.87%
منطقة الشرقية,الاحساء,2026,الربع الثاني,25,23.81%
منطقة الشرقية,الجبيل,2026,الربع الثاني,41,11.05%
منطقة الشرقية,الجفر,2026,الربع الثاني,48,23.30%
منطقة الشرقية,الخبر,2026,الربع الثاني,190,28.15%
منطقة الشرقية,الخفجي,2026,الربع الثاني,34,18.09%
منطقة الشرقية,الدمام,2026,الربع الثاني,185,26.06%
منطقة الشرقية,الظهران,2026,الربع الثاني,5,10.64%
منطقة الشرقية,العيون,2026,الربع الثاني,7,18.92%
منطقة الشرقية,القطيف,2026,الربع الثاني,35,19.44%
منطقة الشرقية,النعيريه,2026,الربع الثاني,11,13.58%
منطقة الشرقية,الهفوف,2026,الربع الثاني,146,26.59%
منطقة الشرقية,حفر الباطن,2026,الربع الثاني,143,19.43%
منطقة الشرقية,رأس تنوره,2026,الربع الثاني,2,22.22%
منطقة الشرقية,قرية العليا,2026,الربع الثاني,15,26.79%
منطقة القصيم,الاسياح,2026,الربع الثاني,5,13.16%
منطقة القصيم,البدائع,2026,الربع الثاني,32,11.00%
منطقة القصيم,البكيريه,2026,الربع الثاني,33,29.20%
منطقة القصيم,الخبراء,2026,الربع الثاني,4,16.67%
منطقة القصيم,الرس,2026,الربع الثاني,28,23.93%
منطقة القصيم,الشماسيه,2026,الربع الثاني,5,13.89%
منطقة القصيم,المذنب,2026,الربع الثاني,56,13.69%
منطقة القصيم,النبهانيه,2026,الربع الثاني,3,13.64%
منطقة القصيم,بريده,2026,الربع الثاني,163,21.45%
منطقة القصيم,رياض الخبراء,2026,الربع الثاني,24,16.33%
منطقة القصيم,ضريه,2026,الربع الثاني,3,6.25%
منطقة القصيم,عقلة الصقور,2026,الربع الثاني,9,18.37%
منطقة القصيم,عنيزه,2026,الربع الثاني,29,20.28%
منطقة القصيم,عيون الجوى,2026,الربع الثاني,2,4.26%
منطقة القصيم,قبه,2026,الربع الثاني,1,4.55%
منطقة المدينة المنوره,الحناكية,2026,الربع الثاني,29,38.16%
منطقة المدينة المنوره,العلا,2026,الربع الثاني,15,25.86%
منطقة المدينة المنوره,المدينة المنورة,2026,الربع الثاني,436,28.33%
منطقة المدينة المنوره,المهد,2026,الربع الثاني,5,10.64%
منطقة المدينة المنوره,وادي الفرع,2026,الربع الثاني,17,25.76%
منطقة تبوك,تبوك,2026,الربع الثاني,116,24.63%
منطقة تبوك,تيماء,2026,الربع الثاني,19,29.69%
منطقة تبوك,حقل,2026,الربع الثاني,1,9.09%
منطقة تبوك,ضباء,2026,الربع الثاني,4,21.05%
منطقة جازان,ابو عريش,2026,الربع الثاني,33,19.08%
منطقة جازان,احد المسارحه,2026,الربع الثاني,8,29.63%
منطقة جازان,الدرب,2026,الربع الثاني,1,50.00%
منطقة جازان,العارضه,2026,الربع الثاني,1,25.00%
منطقة جازان,بيش,2026,الربع الثاني,18,17.14%
منطقة جازان,جيزان,2026,الربع الثاني,56,22.67%
منطقة جازان,صامطه,2026,الربع الثاني,7,20.00%
منطقة جازان,صبياء,2026,الربع الثاني,18,18.95%
