المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي للوكالة
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"43,178,491"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"43,180,303"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"43,176,703"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"43,177,121"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"43,177,244"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"43,177,343"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"43,177,916"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"43,178,126"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"43,178,187"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"43,178,235"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"43,178,365"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"43,178,492"
منطقة مكة المكرمه,جده,القطاع العام,خدمة إلكترونية جزئيا,2026/01/01,"43,178,641"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"43,179,187"
الخدمات الرقمية,كتابة عدل مدمجة - افتراضية,القطاع العام,خدمة إلكترونية جزئيا,2026/01/01,"43,179,693"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"43,180,304"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"43,180,481"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"43,180,811"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"43,181,481"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"43,184,290"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"43,187,049"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"43,187,860"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"43,188,440"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"43,188,744"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"43,189,514"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"43,190,303"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"43,190,720"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"43,190,765"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"43,190,808"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"43,190,981"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2026/01/01,"43,191,013"
